OUSLEY.txt-500,0,601,601,4,N,N,-,-1,-1,HybridEvaluator=0.03829683053163811
PILGRIM.txt-501,0,962,962,9,Y,N,-,-1,-1,HybridEvaluator=0.06495155906352895
PILGRIM.txt-502,0,660,660,6,Y,N,-,-1,-1,HybridEvaluator=0.10076682449879434
PILGRIM.txt-503,0,1470,1470,14,N,N,-,-1,-1,HybridEvaluator=0.01624722971239563
PILGRIM.txt-504,0,1324,1324,9,Y,N,-,-1,-1,HybridEvaluator=0.05434768853035379
PILGRIM.txt-505,0,406,406,3,Y,N,-,-1,-1,HybridEvaluator=0.06448950460114068
PILGRIM.txt-506,0,262,262,1,N,N,-,-1,-1,HybridEvaluator=0.0330561836123988
PILGRIM.txt-507,0,861,861,4,Y,N,-,-1,-1,HybridEvaluator=0.04534434925342311
PILGRIM.txt-508,0,679,679,3,Y,N,-,-1,-1,HybridEvaluator=0.08137710627035953
PILGRIM.txt-509,0,1981,1981,12,Y,N,-,-1,-1,HybridEvaluator=0.13919256147461323
PILGRIM.txt-510,0,2094,2094,17,N,N,-,-1,-1,HybridEvaluator=0.010380104330634748
PILGRIM.txt-511,0,2501,2501,14,Y,N,-,-1,-1,HybridEvaluator=0.0504164414471378
PILGRIM.txt-512,0,2650,2650,19,N,N,-,-1,-1,HybridEvaluator=0.039973172303399286
PILGRIM.txt-513,0,554,554,4,N,N,-,-1,-1,HybridEvaluator=0.01395722324228152
PILGRIM.txt-514,0,520,520,3,Y,N,-,-1,-1,HybridEvaluator=0.06324446020221385
PILGRIM.txt-515,0,1796,1796,19,N,N,-,-1,-1,HybridEvaluator=0.040159357810836925
PILGRIM.txt-516,0,1399,1399,12,N,N,-,-1,-1,HybridEvaluator=0.022672114240303555
PILGRIM.txt-517,0,1653,1653,12,Y,N,-,-1,-1,HybridEvaluator=0.07097096938462537
PILGRIM.txt-518,0,788,788,7,Y,N,-,-1,-1,HybridEvaluator=0.06447937518943872
PILGRIM.txt-519,0,1507,1507,9,Y,N,-,-1,-1,HybridEvaluator=0.06135934898871371
PILGRIM.txt-520,0,813,813,7,Y,N,-,-1,-1,HybridEvaluator=0.047017391640964475
PILGRIM.txt-521,0,1354,1354,8,Y,N,-,-1,-1,HybridEvaluator=0.0560770504058578
PILGRIM.txt-522,0,936,936,8,N,N,-,-1,-1,HybridEvaluator=0.019672202218937885
RECMUS.txt-523,0,228,228,1,N,N,-,-1,-1,HybridEvaluator=0.03571418491918335
PILGRIM.txt-524,0,243,243,1,N,N,-,-1,-1,HybridEvaluator=0.02032813586686787
RECMUS.txt-525,0,157,157,1,Y,N,-,-1,-1,HybridEvaluator=0.06241600652729304
PILGRIM.txt-526,0,228,228,2,Y,N,-,-1,-1,HybridEvaluator=0.11558648428819764
RECMUS.txt-527,0,231,231,1,N,N,-,-1,-1,HybridEvaluator=0.021412770053894598
PILGRIM.txt-528,0,296,296,2,Y,N,-,-1,-1,HybridEvaluator=0.09367711355403192
RECMUS.txt-529,0,339,339,1,N,N,-,-1,-1,HybridEvaluator=0.017532319525925925
PILGRIM.txt-530,0,316,316,2,N,N,-,-1,-1,HybridEvaluator=0.041096265826906474
RECMUS.txt-531,0,228,228,2,Y,N,-,-1,-1,HybridEvaluator=0.15842602135243206
PILGRIM.txt-532,0,298,298,2,N,N,-,-1,-1,HybridEvaluator=0.02104938717988821
RECMUS.txt-533,0,128,128,2,N,N,-,-1,-1,HybridEvaluator=0.0350249707698822
