GLOVER.txt-1,0,1089,1089,4,Y,Y,1.0,0,1089,MusicalEntities=11.0&MusicalEntitiesAnnotationsNorm=2.75&MusicalEntitiesSentenceNorm=2.75
GLOVER.txt-2,0,912,912,2,Y,N,-,-1,-1,MusicalEntities=3.0&MusicalEntitiesAnnotationsNorm=1.5&MusicalEntitiesSentenceNorm=1.5
GLOVER.txt-3,0,1923,1923,9,Y,Y,1.0,0,1923,MusicalEntities=11.0&MusicalEntitiesAnnotationsNorm=1.2222222222222223&MusicalEntitiesSentenceNorm=1.2222222222222223
GLOVER.txt-4,0,1530,1530,15,Y,N,-,-1,-1,MusicalEntities=4.0&MusicalEntitiesAnnotationsNorm=0.26666666666666666&MusicalEntitiesSentenceNorm=0.26666666666666666
GLOVER.txt-5,0,1263,1263,8,Y,Y,1.0,0,1263,MusicalEntities=4.0&MusicalEntitiesAnnotationsNorm=0.5&MusicalEntitiesSentenceNorm=0.5
GLOVER.txt-6,0,721,721,6,Y,N,-,-1,-1,MusicalEntities=1.0&MusicalEntitiesAnnotationsNorm=0.16666666666666666&MusicalEntitiesSentenceNorm=0.16666666666666666
GLOVER.txt-7,0,767,767,5,Y,Y,1.0,0,767,MusicalEntities=4.0&MusicalEntitiesAnnotationsNorm=0.8&MusicalEntitiesSentenceNorm=0.8
GLOVER.txt-8,0,949,949,3,Y,N,-,-1,-1,MusicalEntities=5.0&MusicalEntitiesAnnotationsNorm=1.6666666666666667&MusicalEntitiesSentenceNorm=1.6666666666666667
GRONOW.txt-9,0,1099,1099,4,Y,Y,1.0,0,1099,MusicalEntities=4.0&MusicalEntitiesAnnotationsNorm=1.0&MusicalEntitiesSentenceNorm=1.0
GRONOW.txt-10,0,832,832,5,N,N,-,-1,-1,MusicalEntities=0.0&MusicalEntitiesAnnotationsNorm=0.0&MusicalEntitiesSentenceNorm=0.0
GRONOW.txt-11,0,899,899,4,Y,Y,1.0,0,899,MusicalEntities=11.0&MusicalEntitiesAnnotationsNorm=2.75&MusicalEntitiesSentenceNorm=2.75
GRONOW.txt-12,0,906,906,4,Y,N,-,-1,-1,MusicalEntities=2.0&MusicalEntitiesAnnotationsNorm=0.5&MusicalEntitiesSentenceNorm=0.5
GRONOW.txt-13,0,1025,1025,6,Y,Y,1.0,0,1025,MusicalEntities=5.0&MusicalEntitiesAnnotationsNorm=0.8333333333333334&MusicalEntitiesSentenceNorm=0.8333333333333334
GRONOW.txt-14,0,1128,1128,9,Y,N,-,-1,-1,MusicalEntities=1.0&MusicalEntitiesAnnotationsNorm=0.1111111111111111&MusicalEntitiesSentenceNorm=0.1111111111111111
